x_m,P_hot,P_cold,T_hot_C,T_cold,T_cold_C,T_wall_hot_C,T_wall_cold,T_wall_cold_C,T_sat,T_sat_cold_C,DeltaT_actual,DeltaT_ONB,ONB_margin,q_flux,h_single_phase,h_subcooled,h_cold,cold_region,cold_quality,cold_phase,cold_cumulative_dP_Pa,cold_cumulative_dP_kPa
0.0,14918506.854981042,6000000.0,296.9408092277723,529.9999999999991,256.8499999999991,286.84547438076606,539.3459535938979,266.1959535938979,548.7349899924135,275.5849899924135,-9.3890363985156,0.6462711301562808,-10.035307528671881,165196.1662949448,17675.688696206023,,17675.688696206023,Single Phase Liquid,0.0,subcooled,0.0,0.0
0.51852,14919299.354229374,5998955.048862228,297.2744776690864,533.651204908406,260.50120490840607,287.4254145691565,540.7659002307837,267.6159002307837,548.7241139941015,275.5741139941015,-7.958213763317758,0.6326280366578033,-8.59084179997556,158476.11470698228,17728.437758076518,,17728.437758076518,Single Phase Liquid,0.0,subcooled,1044.9511377719102,1.0449511377719103
1.03704,14920092.290692609,5997906.4232770195,297.5805923204148,536.973855447593,263.823855447593,288.53471038937937,543.4810917492514,270.3310917492514,548.7132366109604,275.5632366109604,-5.232144861709003,0.6060181951479234,-5.838163056856926,145628.94912102417,17830.175053738214,,17830.175053738214,Single Phase Liquid,0.0,subcooled,2093.576722980566,2.093576722980566
1.5555599999999998,14920885.630669072,5996854.202832746,297.86164469545145,540.0004313212766,266.8504313212766,289.5476320319765,545.9587115855488,272.80871158554885,548.7023578425836,275.55235784258366,-2.7436462570348112,0.5807227109453137,-3.324368967980125,133911.36357142095,17924.813956801758,,17924.813956801758,Single Phase Liquid,0.0,subcooled,3145.7971672540716,3.1457971672540714
2.07408,14921679.343150266,5995798.4882579325,298.11988077752517,542.7599779526078,269.6099779526078,291.3184572188003,550.7983974293616,277.6483974293616,548.6914776885642,275.5414776885642,2.106919740797366,0.5219620694190971,1.5849576713782692,109360.47831551038,18013.124515025884,,12849.893252688882,Single Phase Liquid,0.0,subcooled,4201.511742067862,4.201511742067861
2.5926,14922473.399607029,5994739.3954829555,298.3016668879277,544.6894509262146,271.5394509262146,292.6023180035562,554.2573917641263,281.1073917641263,548.6805961484952,275.5305961484952,5.576795615631113,0.4797003055879657,5.097095310043147,91959.40991543929,18086.30349891619,8855.189502444155,8855.189502444155,Subcooled Boiling,0.0,subcooled,5260.6045170450025,5.260604517045002
3.1111199999999997,14923267.698947959,5993677.826034624,298.48956975597014,546.6724239846145,273.52242398461453,292.4864153510223,553.5214874758824,280.3714874758824,548.6697132219695,275.5197132219695,4.851774253912936,0.49270786190002597,4.35906639201291,96919.42300111921,18148.859423824506,12937.963888487815,12937.963888487815,Subcooled Boiling,0.0,subcooled,6322.173965376206,6.322173965376206
3.6296399999999998,14924062.25028022,5992613.608865715,298.6909586840917,548.6588289085796,275.50882890857963,292.3549756647827,552.7175685980396,279.56756859803966,548.6588289085796,275.50882890857963,4.058739689460026,0.5065660421241175,3.5521736473359087,102299.25653394448,18213.68409566218,,21695.74606719756,Subcooled Boiling,0.00041671183420961323,boiling,7386.391134285372,7.386391134285372
4.14816,14924857.072783938,5991546.78083942,298.90010107420915,548.6479432079182,275.4979432079182,292.40036177061177,552.4307890689245,279.2807890689245,548.6479432079182,275.4979432079182,3.782845861006308,0.5133037711456063,3.2695420898607015,104956.58161349874,18246.296243320423,,27786.53259611815,Saturated Boiling,0.007708576354834724,boiling,8453.219160580442,8.453219160580442
4.6666799999999995,14925652.178064508,5990485.59361857,299.1117661931677,548.6261676431486,275.47616764314864,292.53081076019964,552.3927269361055,279.24272693610556,548.6261676431486,275.47616764314864,3.766559292956913,0.5167069724557185,3.249852320501194,106304.670592752,18245.945775279262,,28305.513677153824,Saturated Boiling,0.015129357121498262,boiling,9514.406381430621,9.514406381430621
5.1852,14926447.570720728,5989426.260440774,299.325912879297,548.6152777782247,275.46527777822473,292.66629863617845,552.3647334163967,279.2147334163967,548.6152777782247,275.46527777822473,3.7494556381719804,0.5199910058110927,3.2294646323608878,107612.52175825374,18245.596524408364,,28742.853050671954,Saturated Boiling,0.022607255600418423,boiling,10573.739559226073,10.573739559226073
5.70372,14927243.255344389,5988365.349069375,299.5424049413177,548.6043865243968,275.4543865243968,292.80627168965907,552.345302876937,279.19530287693703,548.6043865243968,275.4543865243968,3.740916352540239,0.52317640604736,3.217739946492879,108887.75050177655,18245.24730180968,,29149.864901686284,Saturated Boiling,0.03017328154257449,boiling,11634.650930625638,11.634650930625638
6.222239999999999,14928039.236389559,5987299.597478292,299.76123185639767,548.5934938812564,275.4434938812565,292.94859647078454,552.3280735007975,279.1780735007975,548.5934938812564,275.4434938812565,3.734579619541023,0.5263475956811137,3.2082320238599094,110164.18375989722,18244.89700478552,,29541.63940421755,Saturated Boiling,0.037827338142238376,boiling,12700.402521707958,12.700402521707957
6.74076,14928835.518344205,5986225.822759541,299.9823926754733,548.582599848395,275.43259984839506,293.0930373099983,552.3123343162433,279.16233431624335,548.582599848395,275.43259984839506,3.7297344678482887,0.5295142139490976,3.2002202538991913,111445.62395003972,18244.544571491246,,29924.11993285163,Saturated Boiling,0.04556966712856483,boiling,13774.177240458714,13.774177240458714
7.2592799999999995,14929632.105744267,5985140.88412267,300.20589173497854,548.5717044254036,275.4217044254036,293.2394607187879,552.2976704098635,279.1476704098635,548.5717044254036,275.4217044254036,3.72596598445989,0.5326819526107773,3.193284031849113,112734.32247139458,18244.1889598409,,30300.78719236506,Saturated Boiling,0.05340070069779086,boiling,14859.115877329557,14.859115877329558
7.7778,14930429.003182048,5984041.658961011,300.4317366867107,548.5608076118731,275.4108076118731,293.3877832630436,552.2838104342234,279.1338104342234,548.5608076118731,275.4108076118731,3.7230028223502813,0.5358545915930247,3.1871482307572565,114031.78263056237,18243.829137469038,,30673.935906131584,Saturated Boiling,0.061320993684289886,boiling,15958.341038988037,15.958341038988037
8.29632,14931226.21531203,5982925.0261539435,300.6599374387398,548.5499094073941,275.39990940739415,293.5379497311209,552.2705631664073,279.12056316640735,548.5499094073941,275.39990940739415,3.720653759013203,0.539034845888483,3.18161891312472,115339.09251770918,18243.464075033145,,31045.20375227947,Saturated Boiling,0.06933118724962861,boiling,17074.973846056084,17.074973846056086
8.81484,14932023.74685535,5981787.853717183,300.89050552470815,548.5390098115571,275.3890098115571,293.68992235326095,552.2577863817918,279.1077863817918,548.5390098115571,275.3890098115571,3.718776570234695,0.542224781090317,3.176551789144378,116657.08777175313,18243.092741420816,,31415.830034126684,Saturated Boiling,0.07743198738738556,boiling,18212.14628281701,18.212146282817013
9.333359999999999,14932821.60260347,5980626.989237137,301.123453699862,548.5281088239528,275.37810882395286,293.8436748647431,552.2453698196356,279.0953698196356,548.5281088239528,275.37810882395286,3.71726099568275,0.545426040835977,3.171834954846773,117986.44036085965,18242.71410012921,,31786.79691355764,Saturated Boiling,0.0856241512686164,boiling,19373.010762862912,19.37301076286291
9.85188,14933619.787421383,5979439.252177436,301.35879566768926,548.5063026718017,275.3563026718017,293.99759005998146,552.228332332212,279.07833233221197,548.5063026718017,275.3563026718017,3.7220296604102714,0.5487015383990071,3.1733281220112644,119354.06182215641,18242.327106409168,,32161.140253937192,Saturated Boiling,0.09394029555338756,boiling,20560.74782256424,20.56074782256424
10.3704,14934418.306250501,5978221.26619097,301.59665018245835,548.4953975064346,275.34539750643467,294.15328849117316,552.2114884513016,279.06148845130167,548.4953975064346,275.34539750643467,3.7160909448670054,0.551991278879273,3.1640996659877323,120734.40031897262,18241.930678348617,,32537.390973100428,Saturated Boiling,0.10232092938658707,boiling,21778.73380903004,21.77873380903004
10.888919999999999,14935217.164260898,5976969.904532098,301.8369290359278,548.4844909476595,275.33449094765956,294.31236112240106,552.1996694412235,279.0496694412235,548.4844909476595,275.33449094765956,3.71517849356394,0.5552347153275909,3.159943778236349,122101.53344942161,18241.523742619363,,32913.924198295696,Saturated Boiling,0.11079546680126982,boiling,23030.095467901905,23.030095467901905
11.40744,14936016.366557665,5975681.8645414105,302.07964780962686,548.4735829950655,275.3235829950655,294.4731701124432,552.1879348923974,279.0379348923974,548.4735829950655,275.3235829950655,3.7143518973318805,0.5584938985326611,3.1558579987992195,123481.88176036646,18241.105237738684,,33293.43656853298,Saturated Boiling,0.11936480194061064,boiling,24318.135458590004,24.318135458590003
11.92596,14936815.918330105,5974353.7945929915,302.32482250983765,548.4517629067781,275.3017629067781,294.6341089182371,552.1713247314688,279.0213247314688,548.4517629067781,275.3017629067781,3.719561824690686,0.5618301643650467,3.1577316603256396,124902.27349414713,18240.67406484759,,33678.61186821401,Saturated Boiling,0.12806022410639187,boiling,25646.20540700862,25.64620540700862
12.444479999999999,14937615.824854154,5972982.055821852,302.57257380789633,548.4408507702623,275.2908507702623,294.79681509263355,552.15470536016,279.0047053601601,548.4408507702623,275.2908507702623,3.713854589897778,0.5651841585955293,3.148670431302249,126336.8778597881,18240.229069327866,,34067.79395917503,Saturated Boiling,0.13682524566054624,boiling,27017.944178148486,27.017944178148486
12.963,14938416.091647316,5971563.38265559,302.8228150692752,548.4299372382832,275.2799372382832,294.96289386435785,552.1429525144436,278.9929525144436,548.4299372382832,275.2799372382832,3.7130152761603767,0.5684960782040721,3.1445191979563045,127759.53079931307,18239.76911037199,,34459.231322756576,Saturated Boiling,0.14568793147389064,boiling,28436.617344410515,28.436617344410514
13.48152,14939216.724169018,5970094.251703924,303.0755632328436,548.408105986289,275.258105986289,295.1291017905435,552.1261939430817,278.97619394308174,548.408105986289,275.258105986289,3.718087956792715,0.5718864739746943,3.1462014828180207,129223.26277969309,18239.293065805858,,34857.63312389028,Saturated Boiling,0.15467850812754486,boiling,29905.748296077178,29.905748296077178
14.00004,14940017.727972602,5968570.784294543,303.33093976788405,548.3971882654502,275.2471882654502,295.2970841482836,552.1093212555722,278.95932125557226,548.3971882654502,275.2471882654502,3.712132990122086,0.5752966407661937,3.1368363493558924,130702.10314169028,18238.799711955155,,35261.317573116656,Saturated Boiling,0.16374280933569502,boiling,31429.21570545827,31.429215705458272
14.518559999999999,14940819.10886263,5966989.577056841,303.58885872089263,548.375348632028,275.22534863202804,295.46684268496483,552.0922929351718,278.94229293517185,548.375348632028,275.22534863202804,3.716944303143805,0.5787267170705179,3.138217586073287,132196.39799834392,18238.28784445879,,35670.681573499045,Saturated Boiling,0.17293629781806175,boiling,33010.4229431605,33.0104229431605
15.03708,14941620.872590676,5965346.573422999,303.8494419262437,548.3535034068634,275.20350340686343,295.63677324348816,552.0701444204658,278.9201444204658,548.3535034068634,275.20350340686343,3.716641013602384,0.5822368365451538,3.13440417705723,133733.0305841787,18237.75622910814,,36088.298900157606,Saturated Boiling,0.18223446724314457,boiling,34653.42657700244,34.65342657700244
15.5556,14942423.025166195,5963637.910265779,304.11270804743515,548.3425786963458,275.1925786963458,295.8101380115064,552.0527288857311,278.9027288857311,548.3425786963458,275.1925786963458,3.710150189385331,0.5857097370023681,3.124440452382963,135259.2730062026,18237.203555331784,,36510.34964781601,Saturated Boiling,0.19161073973499212,boiling,36362.08973422223,36.36208973422223
16.07412,14943225.57270655,5961860.020602614,304.3785715744251,548.3207250773738,275.17072507737385,295.98529604256066,552.0350731358756,278.8850731358756,548.3207250773738,275.17072507737385,3.7143480585017414,0.5892044065652678,3.1251436519364737,136801.78325348033,18236.62859268176,,36939.32433417167,Saturated Boiling,0.2011182727494394,boiling,38139.97939738761,38.139979397387606
16.59264,14944028.521281516,5960008.555586638,304.64715471756233,548.2988658583969,275.1488658583969,296.16064045597534,552.012198111887,278.862198111887,548.2988658583969,275.1488658583969,3.71333225349008,0.5927802283711017,3.120552025118978,138387.53875270655,18236.03002995876,,37377.8003731519,Saturated Boiling,0.21073379571458473,boiling,39991.44441336366,39.99144441336366
17.111159999999998,14944831.87722923,5958079.409364323,304.9184764586513,548.2770010361044,275.1270010361044,296.33782526915047,551.9890231261495,278.8390231261495,548.2770010361044,275.1270010361044,3.7120220900451386,0.5963794461630743,3.1156426438820644,139990.4171440082,18235.40646637849,,37824.1530056904,Saturated Boiling,0.22045846114305792,boiling,41920.59063567802,41.92059063567802
17.62968,14945635.647003992,5956068.388727245,305.19255585501185,548.2551306071829,275.1051306071829,296.516857687025,551.9655217402251,278.8155217402251,548.2551306071829,275.1051306071829,3.710391133042208,0.6000026843690813,3.1103884486731266,141610.6875743986,18234.756526036308,,38278.84351595031,Saturated Boiling,0.23029343981116618,boiling,43931.611272756374,43.93161127275637
18.1482,14946439.837179167,5953971.210435858,305.4694120261794,548.2332545683156,275.0832545683156,296.69774504909685,551.9416674673962,278.7916674673962,548.2332545683156,275.0832545683156,3.7084128990805993,0.6036505753918888,3.1047623236887105,143248.62065360477,18234.078802923257,,38742.35206781391,Saturated Boiling,0.24023992082385814,boiling,46028.78956414349,46.02878956414349
18.666719999999998,14947244.454450184,5951783.49854443,305.7490641417029,548.2113729161829,275.0613729161829,296.8804947742051,551.9174336174013,278.76743361740137,548.2113729161829,275.0613729161829,3.706060701218462,0.6073237618599658,3.098736939358496,144904.48925443017,18233.37185996804,,39215.18069109875,Saturated Boiling,0.2502991117371435,boiling,48216.5014555713,48.2165014555713
19.18524,14948049.505637603,5949500.781719224,306.0315314098681,548.1894856474619,275.0394856474619,297.06511430952935,551.8927931511681,278.74279315116814,548.1894856474619,275.0394856474619,3.7033075037062417,0.6110228987412707,3.092284604964971,146578.5692668893,18232.634228071736,,39697.856381850404,Saturated Boiling,0.26047223873414227,boiling,50499.21828077777,50.499218280777775
19.70376,14948854.997690275,5947118.4905428765,306.31683306724517,548.1566442060007,275.0066442060007,297.2499866594666,551.8627190246004,278.71271902460046,548.1566442060007,275.0066442060007,3.7060748185997454,0.6148055290703547,3.0912692895293907,148298.1410789283,18231.864405132277,,40193.049484269555,Saturated Boiling,0.27078487286292313,boiling,52881.509457125256,52.881509457125254
20.222279999999998,14949660.9376886,5944631.3920034105,306.60509257894387,548.1347428812508,274.9847428812508,297.43677765159157,551.8321755749282,278.68217557492824,548.1347428812508,274.9847428812508,3.697432693677456,0.6186158645331522,3.0788168291443037,150036.81661330658,18231.06076216166,,40699.320094332936,Saturated Boiling,0.2811929357902417,boiling,55368.60799659161,55.36860799659161
20.7408,14950467.333013434,5942035.209739098,306.8962259396452,548.1018803401286,274.9518803401286,297.6254918993776,551.8011211259972,278.6511211259972,548.1018803401286,274.9518803401286,3.6992407858685965,0.6224541557834968,3.0767866300851,151794.96618704297,18230.221717252018,,41217.28810797651,Saturated Boiling,0.29174220804426954,boiling,57964.790260903486,57.964790260903484
21.25932,14951274.191021977,5939324.445073688,307.1903565939964,548.0690051241929,274.91900512419295,297.81451078709813,551.7645193282557,278.6145193282557,548.0690051241929,274.91900512419295,3.6955142040627607,0.626377779702887,3.0691364243598738,153599.9316707396,18229.345643235174,,41749.734662795025,Saturated Boiling,0.3024134122173838,boiling,60675.554926313096,60.6755549263131
21.777839999999998,14952081.519381005,5936494.00879669,307.48750471841606,548.0361172221642,274.8861172221642,298.00550132316175,551.7273372650527,278.57733726505273,548.0361172221642,274.8861172221642,3.691220042888517,0.6303312492434664,3.060888793645051,155425.3124648715,18228.43077724659,,42295.3515426027,Saturated Boiling,0.31320790711601726,boiling,63505.99120331158,63.50599120331158
22.29636,14952889.325907668,5933538.6933609415,307.78769046778893,548.0141849007377,274.86418490073777,298.200102829815,551.6945744528672,278.5445744528672,548.0141849007377,274.86418490073777,3.6803895521294407,0.6342596130516336,3.046129939077807,157244.2270155824,18227.47540281049,,42852.8054490315,Saturated Boiling,0.324104998259281,boiling,66461.30663905977,66.46130663905977
22.81488,14953697.61857345,5930453.86787135,308.090829837152,547.9703033146252,274.8203033146252,298.39502275534596,551.6561340673782,278.5061340673782,547.9703033146252,274.8203033146252,3.6858307527529632,0.6382745413713568,3.0475562113816066,159111.1095037426,18226.477877382054,,43427.02342993497,Saturated Boiling,0.335168535209801,boiling,69546.13212865182,69.54613212865182
23.333399999999997,14954506.405337555,5927232.729304981,308.39715023320184,547.9373772864739,274.7873772864739,298.5903026878724,551.6119791338854,278.4619791338854,547.9373772864739,274.7873772864739,3.674601847411509,0.6423774964252313,3.0322243509862776,161026.58843189635,18225.43629297922,,44018.9874657633,Saturated Boiling,0.3463412290606536,boiling,72767.27069502047,72.76727069502047
23.85192,14955315.69466064,5923870.349789012,308.7065685182439,547.9044385269473,274.7544385269473,298.78924828396293,551.5721352011439,278.4221352011439,547.9044385269473,274.7544385269473,3.667696674196577,0.6464584993478245,3.0212381748487527,162936.90466255223,18224.348690457897,,44625.54921729208,Saturated Boiling,0.35764286575844567,boiling,76129.65021098928,76.12965021098927
