x_m,T_hot_C,T_cold_C,cold_superheat_C,H_hot_Jkg,H_cold_Jkg,quality,cold_phase
0.0,579.9999999999377,263.94072195416504,0.0,3530620.8814864974,2745934.7223870074,0.9705589197785326,boiling
0.05,577.8789068246843,263.94072195416504,0.0,3525011.375833283,2731465.343415627,0.9617337803444453,boiling
0.1,575.7984347225128,263.94072195416504,0.0,3519501.0032279436,2716931.343771861,0.952869227577882,boiling
0.15000000000000002,573.7583630517124,263.94072195416504,0.0,3514089.4574052277,2702332.217677965,0.9439649529957255,boiling
0.2,571.7583492776862,263.94072195416504,0.0,3508776.1138609704,2687667.455147076,0.9350206455476413,boiling
0.25,569.7979461524671,263.94072195416504,0.0,3503560.0727388966,2672936.5419490244,0.926035991595224,boiling
0.30000000000000004,567.8766167757664,263.94072195416504,0.0,3498440.196455129,2658138.9595759567,0.91701067489103,boiling
0.35000000000000003,565.9937477503639,263.94072195416504,0.0,3493415.1425833753,2643274.185207774,0.9079443765574989,boiling
0.4,564.14866062027,263.94072195416504,0.0,3488483.392462235,2628341.691677385,0.8988367750657598,boiling
0.45,562.3406217600849,263.94072195416504,0.0,3483643.275935688,2613340.9474357744,0.8896875462143253,boiling
0.5,560.5688508654963,263.94072195416504,0.0,3478892.9925916344,2598271.4165168884,0.8804963631076763,boiling
0.55,558.8325281771936,263.94072195416504,0.0,3474230.6298187803,2583132.5585023384,0.8712628961347323,boiling
0.6000000000000001,557.1308005529761,263.94072195416504,0.0,3469654.1779581127,2567923.8284859224,0.8619868129472138,boiling
0.65,555.459168888542,263.94072195416504,0.0,3465151.7916620667,2552644.6770379674,0.8526677784378929,boiling
0.7000000000000001,553.7995459761481,263.94072195416504,0.0,3460674.874228564,2537294.5501694907,0.8433054547187355,boiling
0.75,552.1518539279945,263.94072195416504,0.0,3456223.2255362575,2521872.889296186,0.8338995010989353,boiling
0.8,550.5160151936707,263.94072195416504,0.0,3451796.646972383,2506379.13120223,0.8244495740628386,boiling
0.8500000000000001,548.8919525609055,263.94072195416504,0.0,3447394.9414245123,2490812.708003915,0.8149553272477638,boiling
0.9,547.2795891562839,263.94072195416504,0.0,3443017.913272287,2475173.047113106,0.805416411421713,boiling
0.9500000000000001,545.6788484459206,263.94072195416504,0.0,3438665.368379132,2459459.5712005277,0.7958324744609796,boiling
1.0,544.089654236106,263.94072195416504,0.0,3434337.114083948,2443671.6981588765,0.78620316132765,boiling
1.05,542.511930673905,263.94072195416504,0.0,3430032.9591927924,2427808.8410657644,0.7765281140470026,boiling
1.1,540.9456022477304,263.94072195416504,0.0,3425752.7139705396,2411870.4081464945,0.7668069716848034,boiling
1.1500000000000001,539.390593787875,263.94072195416504,0.0,3421496.1901325304,2395855.802736669,0.7570393703245003,boiling
1.2000000000000002,537.846830467014,263.94072195416504,0.0,3417263.2008362077,2379764.423244632,0.7472249430443164,boiling
1.25,536.3142378006639,263.94072195416504,0.0,3413053.560672739,2363595.66311375,0.7373633198942438,boiling
