x_m,P_hot_MPa,P_cold_MPa,cold_cumulative_dP_kPa,T_hot_C,T_cold_C,T_sat_cold_C,cold_superheat_C,H_hot_Jkg,H_cold_Jkg,H_f_cold_Jkg,H_g_cold_Jkg,H_fg_cold_Jkg,quality,cold_phase
0.0,15.0,4.9725192608049475,27.480739195057282,579.9999999999377,319.656171944951,263.59647982639854,56.05969211855245,3530620.8814864974,2986090.8686362603,1152914.8322730253,2794431.145772159,1641516.3134991338,1.0,superheated_vapor
0.05,14.994102430832426,4.973146230610704,26.853769389300627,577.8578708139252,317.7821620465428,263.60434985346285,54.177812193079944,3525011.375833283,2980621.5985780656,1152954.2908719212,2794426.0170083,1641471.7261363787,1.0,superheated_vapor
0.1,14.988226852073677,4.973769061076806,26.230938923198675,575.7563081801356,315.8804396154444,263.61216717098057,52.26827244446383,3519501.4029308488,2975031.391799258,1152993.4859196222,2794420.9209467066,1641427.4350270843,1.0,superheated_vapor
0.15000000000000002,14.982372854598339,4.9743876744154045,25.612325584599507,573.6950942119897,313.9512143363286,263.6199308178334,50.331283518495184,3514090.653242309,2969317.33942786,1153032.4125825693,2794415.858247291,1641383.4456647215,1.0,superheated_vapor
0.2,14.976540029902928,4.975001991659913,24.99800834009097,571.6738889942097,311.99475278511534,263.6276398183753,48.367112966740024,3508778.4984288504,2963476.4342875355,1153071.0659541248,2794410.8295800234,1641339.7636258986,1.0,superheated_vapor
0.25,14.970727971506976,4.975611932668978,24.38806733102546,569.6922477990906,310.0113834438338,263.6352931824815,46.37609026135226,3503564.03442115,2957505.564823495,1153109.4410547845,2794405.8356249,1641296.3945701157,1.0,superheated_vapor
0.30000000000000004,14.964936276168919,4.97621741613285,23.782583867154617,567.7496361789,308.0015021925309,263.6428899056292,44.35861228690169,3498446.1192046576,2951401.5083739823,1153147.5328325923,2794400.877071889,1641253.3442392969,1.0,superheated_vapor
0.35000000000000003,14.959164544939268,4.976818359582525,23.18164041747878,565.8454431482459,305.96557835676685,263.65042896901286,42.31514938775399,3493423.4058456724,2945160.9236686896,1153185.3361637301,2794395.954620859,1641210.618457129,1.0,superheated_vapor
0.4,14.953412384071308,4.977414679402192,22.585320597812323,563.9789926458147,303.9041614118594,263.6579093396982,40.246252072161155,3488494.37122332,2938780.342402393,1153222.8458532693,2794391.068981474,1641168.2231282045,1.0,superheated_vapor
0.45,14.947679405807627,4.9780062908455776,21.99370915442723,562.1495534447887,301.81788847543964,263.6653299708279,38.15255850461176,3483657.3408819064,2932256.1596877137,1153260.0566362378,2794386.2208730574,1641126.1642368196,1.0,superheated_vapor
0.5,14.941965229059061,4.978593108057054,21.406891942950715,560.35634766275,299.7074927606999,263.6726898018844,36.034802958815476,3478910.5103717563,2925584.6231312533,1153296.963178905,2794381.4110244233,1641084.4478455184,1.0,superheated_vapor
0.55,14.936269479991074,4.979175044098562,20.824955901442564,558.5985580041369,297.57381321727587,263.67998775902595,33.89382545824992,3474251.9634019295,2918761.8201968344,1153333.560080469,2794376.640173642,1641043.080093173,1.0,superheated_vapor
0.6000000000000001,14.93059179253124,4.979752010983764,20.24798901624132,556.8753338508716,295.4178056594702,263.68722275551306,31.730582903957156,3469679.687084132,2911783.663410923,1153369.8418752349,2794371.9090677695,1641002.0671925347,1.0,superheated_vapor
0.65,14.924931808810314,4.980323919721287,19.676080278717574,554.4484822423847,293.24055577793297,263.69439369224824,29.546162085684728,3463205.4050666457,2904645.8728186856,1153405.8030352702,2794367.218462477,1640961.4154272068,1.0,superheated_vapor
0.7000000000000001,14.919297785544138,4.9808906803695345,19.10931963046973,552.0455104247053,291.0432945575702,263.70149945845935,27.34179509911087,3456781.848944745,2897343.954901718,1153441.437973881,2794362.569121607,1640921.1311477262,1.0,superheated_vapor
0.75,14.913689522478414,4.981452202106309,18.547797893695872,549.666639839572,288.82741678910077,263.7085389325698,25.118877856530958,3450409.6335836397,2889873.1769037503,1153476.7410499547,2794357.961816591,1640881.2207666365,1.0,superheated_vapor
0.8,14.908106816054225,4.982008393317587,17.991606682416897,547.3117886953619,286.5945035722955,263.71551098330656,22.878992588988922,3444088.564205158,2882228.535157966,1153511.7065735306,2794353.397325711,1640841.6907521803,1.0,superheated_vapor
0.8500000000000001,14.902549462927325,4.98255916171116,17.440838288843143,544.9808071291739,284.3463499725244,263.7224144711188,20.62393550140564,3437818.266734996,2874404.715544375,1153546.3288129051,2794348.8764331676,1640802.5476202625,1.0,superheated_vapor
0.9,14.89701726075779,4.983104414462607,16.895585537395764,542.6735153190191,282.0849993116112,263.72924825000257,18.355751061608657,3431598.2895685597,2866396.0436008633,1153580.6020038193,2794344.3999278652,1640763.797924046,1.0,superheated_vapor
0.9500000000000001,14.891510008558933,4.983644058403355,16.355941596647728,540.3897172186228,279.8127859419178,263.7360111698496,16.076774772068234,3425428.1401033862,2858196.4210416446,1153614.5203612135,2794339.968601859,1640725.4482406457,1.0,superheated_vapor
1.0,14.88602750688788,4.984178000263302,15.821999736699794,538.1292070439579,277.53238874137594,263.74270207948007,13.789686661895871,3419307.3019123613,2849799.244487113,1153648.0780944552,2794335.583248347,1640687.5051538919,1.0,superheated_vapor
1.05,14.880569557961627,4.984706146983709,15.29385301629348,535.8917728348474,275.2468979110091,263.7493198305526,11.497578080456492,3413235.2441187445,2841197.3010931173,1153681.2694269707,2794331.2446590927,1640649.975232122,1.0,superheated_vapor
1.1,14.875135965732301,4.985228406119519,14.771593880483973,533.6771986112177,272.95989782357435,263.75586328259385,9.204034540980501,3407211.4270307575,2832382.6345587014,1153714.088621471,2794326.9536210913,1640612.8649996202,1.0,superheated_vapor
1.1500000000000001,14.869726535937822,4.985744686353557,14.25531364644642,531.4852657711388,270.6755684236008,263.7623313094274,6.913237114173398,3401235.305761466,2823346.3738729404,1153746.5300122157,2794322.710912328,1640576.1809001125,1.0,superheated_vapor
1.2000000000000002,14.864341076136656,4.986254898147033,13.745101852970421,529.3157540441531,268.39880661853954,263.7687228073049,4.630083811234613,3395306.332668808,2814078.516501023,1153778.588045818,2794318.51729641,1640539.9292505921,1.0,superheated_vapor
1.25,14.858979395731815,4.986751554024266,13.248445975736754,527.1684421666364,263.77494400830085,263.77494400830085,0.0,3389423.9590592165,2792488.9372251714,1153809.7923797925,2794314.434360049,1640504.6419802567,0.9988872343983896,boiling
1.3,14.853641305987221,4.987237013088086,12.762986911917356,525.0431083744277,263.7810244984952,263.7810244984952,0.0,3383587.636407758,2771034.2319045775,1153840.2913778517,2794310.4427642715,1640470.1513864198,0.985811256096295,boiling
1.35,14.848326620038595,4.9877114211866385,12.288578813364955,522.9395307702682,263.7869661358395,263.7869661358395,0.0,3377796.817247363,2749587.1301322193,1153870.0943291455,2794306.541358003,1640436.4470288574,0.9727393211076363,boiling
1.4000000000000001,14.84303515290025,4.9881748739562335,11.825126043770165,520.8574876024525,263.79277014823447,263.79277014823447,0.0,3372050.9558234536,2728104.5216049203,1153899.2073636723,2794302.7294012695,1640403.5220375971,0.9596451684557942,boiling
1.4500000000000002,14.83776672146883,4.9886274597212745,11.37254027872831,518.7967574785408,263.79843767097475,263.79843767097475,0.0,3366349.508577034,2706562.1463725725,1153927.6361479,2794299.0062126457,1640371.3700647457,0.9465140263715952,boiling
1.5,14.832521144524746,4.989069261241787,10.93073875821629,516.7571195303182,263.8039697686827,263.8039697686827,0.0,3360691.934498803,2684943.9259654568,1153955.3859947685,2794295.3711549467,1640339.9851601783,0.9333361094780532,boiling
1.55,14.82729824273183,4.989500357668103,10.499642331900473,514.7383535411973,263.8093674598242,263.8093674598242,0.0,3355077.695383754,2663238.168360276,1153982.461986604,2794291.823619217,1640309.3616326132,0.9201043057338268,boiling
1.6,14.822097838635692,4.9899208258541465,10.07917414585648,512.7402400440337,263.81463173318207,263.81463173318207,0.0,3349506.256007018,2641435.8243756457,1154008.8690577445,2794288.3630139576,1640279.4939562131,0.9068131137397537,boiling
1.6500000000000001,14.81691975666108,4.990330741281243,9.669258718760691,510.7625603950695,263.81976355944755,263.81976355944755,0.0,3343977.0842358223,2619529.5625281637,1154034.612052637,2794284.9887575703,1640250.3767049334,0.8934580788937422,boiling
1.7000000000000002,14.811763823108542,4.990730178738258,9.269821261746092,508.8050968281759,263.824763899755,263.824763899755,0.0,3338489.6510882718,2597513.2292407095,1154059.6957686546,2794281.70027279,1640222.0045041356,0.8800354644116808,boiling
1.75,14.806629866150603,4.991119212843073,8.880787156930307,506.8676324924496,263.8296337122289,263.8296337122289,0.0,3333043.430746687,2575381.5116295945,1154084.1249889082,2794278.4969824124,1640194.3719935042,0.8665420458145037,boiling
1.8,14.801517715827687,4.991497918456971,8.502081543033526,504.9499514753958,263.83437395718477,263.83437395718477,0.0,3327637.90053102,2553129.715626103,1154107.904508323,2794275.3783059125,1640167.4737975895,0.8529749757069204,boiling
1.85,14.796427204043924,4.991866371024558,8.133628975446467,503.0518388132987,263.8389856014004,263.8389856014004,0.0,3322272.5408361675,2530753.6138791176,1154131.0391550648,2794272.3436566647,1640141.3045015999,0.8393316910840044,boiling
1.9000000000000001,14.79135816456302,4.992224646860705,7.7753531392993125,501.1730804899021,263.8434696217182,263.8434696217182,0.0,3316946.83503568,2508249.3379606996,1154153.533808564,2794269.3924396015,1640115.8586310374,0.8256098476374495,boiling
1.9500000000000002,14.786310433004314,4.992572823399046,7.427176600958338,499.31346342412724,263.847827008169,263.847827008169,0.0,3311660.2693532463,2485613.299823895,1154175.393415232,2794266.5240491773,1640091.1306339453,0.8118072718886186,boiling
2.0,14.7812838468392,4.992910979412252,7.089020587751733,497.47277544721146,263.85205876673865,263.85205876673865,0.0,3306412.3327023895,2462842.1332158246,1154196.623002268,2794263.737867581,1640067.1148653133,0.7979219254823156,boiling
2.0500000000000003,14.77627824538801,4.993239195211408,6.7608047885961255,495.6508052693828,263.856165921875,263.856165921875,0.0,3301202.5164939403,2439932.649085308,1154217.2276902704,2794261.033263106,1640043.8055728355,0.7839518780085036,boiling
2.1,14.771293469817516,4.993557552829875,6.442447170128647,493.84734243587525,263.8601495187993,263.8601495187993,0.0,3296030.3144100355,2416881.801040592,1154237.2127047947,2794258.409588651,1640021.196883856,0.7698952859480731,boiling
2.15,14.766329363139212,4.993866136195722,6.133863804281962,492.0621772718598,263.8640106256736,263.8640106256736,0.0,3290895.222142549,2393686.6581750787,1154256.5833872382,2794255.866180314,1639999.282793076,0.755750376108075,boiling
2.2,14.761385770208474,4.994165031295828,5.834968704176329,490.29510081557123,263.86775033566494,263.86775033566494,0.0,3285796.737092983,2370344.3833936653,1154275.345205169,2794253.402356057,1639978.057150888,0.7415154324083805,boiling
2.25,14.756462537724836,4.9944543263341314,5.54567366587199,488.545904738608,263.87136976893487,263.87136976893487,0.0,3280734.358029883,2346852.215912243,1154293.5037623106,2794251.0174144194,1639957.5136521088,0.7271887852107581,boiling
2.3000000000000003,14.751559514233504,4.994734111885994,5.265888114009715,486.8143812520814,263.8748700745813,263.8748700745813,0.0,3275707.5846987404,2323207.456969202,1154311.0648082618,2794248.710633253,1639937.6458249914,0.7127688026046333,boiling
2.35,14.746676550128328,4.995004481050282,4.995518949721564,485.10032299687,263.87825243255134,263.87825243255134,0.0,3270715.917378045,2299407.4580415087,1154328.0342480866,2794246.481268494,1639918.4470204073,0.6982538832183601,boiling
