cell,x_hot_mid_m,x_cold_mid_m,h_hot_W_m2K,h_cold_W_m2K,U_W_m2K,q_W,q_flux_W_m2,T_wall_hot_side_C,T_wall_cold_side_C,T_wall_mean_C,dP_hot_Pa,dpdz_cold_Pa_m,dP_cold_cell_Pa,cold_cumulative_dP_kPa,f_hot,f_cold,Re_hot,Re_cold,Re_cold_liquid,Re_cold_vapor,phi_f2_cold,X_cold,cold_two_phase_dp_model,cold_correlation,cold_temperature_change
10,0.525,4.475,17689.854983405014,72835.5415456655,5121.399267695868,170.0492156894697,90213.91081959661,292.85911608549316,281.58237723304353,287.22074665926834,90.4770470399146,42084.70704444179,2104.2353522220897,23.140716568740714,0.015050701794456502,0.00969659142264674,195307.4884992079,1133625.2570118008,1133625.2570118008,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
11,0.5750000000000001,4.425000000000001,17684.490940937478,72840.26755609884,5120.972936908329,167.8822512230492,89064.30046514557,292.7315285911445,281.5984910330013,287.165009812073,90.44809124794882,42086.74470968477,2104.3372354842386,25.245053804224952,0.015053900988810256,0.009696218930412396,195141.51757521037,1133799.465511582,1133799.465511582,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
12,0.625,4.375,17679.20400324665,72844.93914244261,5120.552600638111,165.74185028463674,87928.78249998932,292.60548405088343,281.61438623838467,287.10993514463405,90.41958628145075,42088.75881961992,2104.4379409809962,27.34949174520595,0.01505705990032923,0.009695850988223136,194977.80943283893,1133971.5788846917,1133971.5788846917,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
13,0.675,4.325,17673.992887165325,72849.55693247289,5120.138162826279,163.62771856042042,86807.20078580125,292.48096591304443,281.6300658148192,287.0555158639319,90.39152430188196,42090.74963700392,2104.5374818501964,29.454029227056147,0.015060179023518935,0.009695487539805274,194816.331698086,1134141.6222577875,1134141.6222577875,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
14,0.7250000000000001,4.275,17668.856337694455,72854.12154790916,5119.729529448867,161.5395640398151,85699.40040615451,292.357957737359,281.6455326865897,287.00174521197437,90.3638976275144,42092.71742234535,2104.6358711172675,31.558665098173414,0.015063258846856263,0.009695128529524059,194657.05251349468,1134309.6204924537,1134309.6204924537,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
15,0.775,4.225,17663.793127144938,72858.63360444162,5119.326608455968,159.4770970299575,84605.22767421184,292.23644319653715,281.66078973726064,286.9486164668989,90.33669872977751,42094.662433904254,2104.733121695213,33.663398219868625,0.015066299852873612,0.009694773902378046,194499.9405280124,1134475.5981869777,1134475.5981869777,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
16,0.8250000000000001,4.175000000000001,17658.802054312975,72863.09371175483,5118.929309713187,157.44003016914507,83524.53013985523,292.11640607773245,281.6758398102505,286.8961229439915,90.30992022970247,42096.5849276914,2104.82924638457,35.768227466253194,0.015069302518241262,0.009694423603993724,194344.9648871023,1134639.5796780293,1134639.5796780293,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
17,0.875,4.125,17653.881943686287,72867.50247355948,5118.537544945262,155.4280784383582,82457.15659579847,291.9978302839154,281.6906857094406,286.84425799667804,90.28355489446393,42098.48515746969,2104.9242578734843,37.87315172412668,0.015072267313847865,0.009694077580619808,194192.09522311212,1134801.5890425234,1134801.5890425234,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
18,0.925,4.075,17649.0316446812,72871.86048761678,5118.1512276818385,153.44095917180192,81402.95708317989,291.88069983512935,281.70533019973186,286.79301501743055,90.25759563401311,42100.36337475457,2105.0181687377285,39.97816989286441,0.01507519470487923,0.009693735779121864,194041.30164589031,1134961.6500993362,1134961.6500993362,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
19,0.9750000000000001,4.025,17644.250030908508,72876.16834577108,5117.770273205295,151.47839206580326,80361.78289628243,291.7649988696635,281.7197760076282,286.7423874386458,90.23203549780176,42102.2198288171,2105.110991440855,42.08328088430526,0.015078085150895393,0.009693398146976596,193892.55473364025,1135119.7864112016,1135119.7864112016,0.0,1.0,0.0,Mishima-Hibiki,Dittus-Boelter liquid,single_phase_liquid_sensible
