position_m,T_hot_K,T_hot_C,T_cold_K,T_cold_C,h_cold_J_kg,x_cold
0.0,580.0,306.85,420.0,146.85000000000002,621473.3698013063,0.0
0.05,579.4368484099854,306.2868484099854,423.71853497634226,150.56853497634228,637423.7092503416,0.0
0.1,578.8845991752704,305.73459917527043,427.3461282209387,154.1961282209387,653018.0522814018,0.0
0.15000000000000002,578.3432961463437,305.19329614634376,430.8835042043655,157.73350420436554,668258.7227842858,0.0
0.2,577.812954016401,304.66295401640105,434.33156460719243,161.18156460719246,683148.7078381663,0.0
0.25,577.293525101197,304.14352510119704,437.69159896997803,164.54159896997805,697692.5850818485,0.0
0.30000000000000004,576.7849826273874,303.63498262738744,440.96473994302914,167.81473994302917,711894.1824293158,0.0
0.35000000000000003,576.2872806086257,303.1372806086257,444.15222419733146,171.0022241973315,725757.7126011717,0.0
0.4,575.8003487151451,302.6503487151451,447.2554227510882,174.1054227510882,739287.9174131508,0.0
0.45,575.3240985241255,302.1740985241255,450.27579828369414,177.12579828369417,752489.894668743,0.0
0.5,574.8584263674114,301.70842636741145,453.21488511797406,180.0648851179741,765369.0218100563,0.0
0.55,574.4032154594134,301.25321545941347,456.0742742748483,182.9242742748483,777930.9005139762,0.0
0.6000000000000001,573.9583376973285,300.8083376973285,458.85560098488605,185.70560098488608,790181.3110027091,0.0
0.65,573.5236552462577,300.3736552462577,461.56053387803337,188.4105338780334,802126.172753995,0.0
0.7000000000000001,573.0990219558005,299.9490219558005,464.19076550988234,191.04076550988236,813771.5101831568,0.0
0.75,572.6842846334115,299.5342846334115,466.74800402645707,193.5980040264571,825123.4224901068,0.0
0.8,572.2792841913507,299.12928419135073,469.2339658282054,196.0839658282054,836188.0571199214,0.0
0.8500000000000001,571.8838566800783,298.73385668007836,471.6503691231731,198.50036912317313,846971.586412005,0.0
0.9,571.4978342187678,298.34783421876784,473.9989282764263,200.8489282764263,857480.1870864078,0.0
0.9500000000000001,571.1210458322277,297.9710458322277,476.2813488743615,203.13134887436155,867720.0222649903,0.0
1.0,570.7533182025385,297.6033182025385,478.4993234314357,205.34932343143572,877697.2257616312,0.0
1.05,570.39447634293,297.24447634293006,480.6545276740537,207.50452767405375,887417.8884049384,0.0
1.1,570.0443442007685,296.8943442007685,482.7486173426456,209.59861734264564,896888.0461815561,0.0
1.1500000000000001,569.7027451959488,296.5527451959488,484.78322545841246,211.63322545841248,906113.6700095418,0.0
1.2000000000000002,569.3695027004658,296.2195027004658,486.7599600062982,213.6099600062982,915100.6569702025,0.0
1.25,569.0444404644677,295.8944404644677,488.68040199016156,215.53040199016158,923854.8228436727,0.0
1.3,568.7273829936552,295.5773829936552,490.5461038203449,217.39610382034493,932381.8958087295,0.0
1.35,568.4181558824906,295.26815588249065,492.3585879974976,219.2085879974976,940687.5111810528,0.0
1.4000000000000001,568.1165861073075,294.96658610730753,494.1193460600236,220.9693460600236,948777.2070765588,0.0
1.4500000000000002,567.8225022830668,294.6725022830668,495.82983776564447,222.6798377656445,956656.4208976559,0.0
1.5,567.5357348871883,294.3857348871883,497.49149048038413,224.34149048038415,964330.4865504387,0.0
1.55,567.2561164535919,294.1061164535919,499.10569875094546,225.9556987509455,971804.6323100419,0.0
